fold,auc_roc,avg_precision,f1_score,model
1,0.8836081461313372,0.6822303713482538,0.598,Gradient Boosting
2,0.8842639983407288,0.6861821444319186,0.5991820040899796,Gradient Boosting
3,0.8644149008709496,0.650151038712413,0.5682841420710355,Gradient Boosting
4,0.8627898070092143,0.6527110619588727,0.5836335563561503,Gradient Boosting
5,0.872284040941643,0.6600247511619999,0.5775347912524851,Gradient Boosting
1,0.8703028830579851,0.6514900545054417,0.5777777777777777,Random Forest
2,0.865085880346852,0.628637575909303,0.562406015037594,Random Forest
3,0.8570232368317975,0.6177351261089016,0.54323499491353,Random Forest
4,0.8554892822546787,0.6221544994646008,0.5626911314984709,Random Forest
5,0.8552574131923445,0.6285214194948789,0.5578895945285784,Random Forest
